source,page,section,article,category,content
quy_che_ctsv_2025.pdf,4,,Điều 7,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 4]
3. Được đăng ký tham gia các hoạt động giao lưu, trao đổi sinh viên trong nước
và quốc tế do Đại học tổ chức.
4. Được đăng ký tham gia các hoạt động NCKH, đổi mới sáng tạo, các kỳ thi
Olympic môn học hoặc các diễn đàn, câu lạc bộ học tập, sở thích, năng khiếu theo quy
định của Đại học.
5. Được sử dụng học liệu, thiết bị và phương tiện phục vụ học tập, NCKH theo
quy định của Đại học.
6. Được đăng ký xét, cấp các học bổng của Đại học nếu có nguyện vọng và đáp
ứng đầy đủ các điều kiện của học bổng.
7. Được tôn trọng và đối xử bình đẳng; được cung cấp đầy đủ thông tin cá nhân
về kết quả học tập và rèn luyện theo quy định của Đại học; được phổ biến nội quy, quy
định, quy chế về đào tạo, quy định về rèn luyện, chủ trương, chế độ chính sách của
Nhà nước và của Đại học dành cho sinh viên."
quy_che_ctsv_2025.pdf,4,,Điều 7,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 4]
7. Được tôn trọng và đối xử bình đẳng; được cung cấp đầy đủ thông tin cá nhân
về kết quả học tập và rèn luyện theo quy định của Đại học; được phổ biến nội quy, quy
định, quy chế về đào tạo, quy định về rèn luyện, chủ trương, chế độ chính sách của
Nhà nước và của Đại học dành cho sinh viên.
8. Được khuyến khích và tạo điều kiện tham gia hoạt động trong các tổ chức
chính trị - xã hội, các hoạt động văn hóa - xã hội phù hợp với quy định của pháp luật
Việt Nam và quy định của Đại học.
9. Được góp ý kiến với lãnh đạo Đại học và thực hiện quyền giám sát các vấn đề
liên quan đến sinh viên của Đại học theo quy định hiện hành về quy chế dân chủ của
Nhà nước và của Đại học.
10. Được tạo điều kiện và hỗ trợ làm các thủ tục đăng ký tạm trú tại nơi cư trú.
11. Được tạo điều kiện tham quan, thực tập tại các cơ quan, đơn vị trong và ngoài"
quy_che_ctsv_2025.pdf,4,,Điều 7,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 4]
liên quan đến sinh viên của Đại học theo quy định hiện hành về quy chế dân chủ của
Nhà nước và của Đại học.
10. Được tạo điều kiện và hỗ trợ làm các thủ tục đăng ký tạm trú tại nơi cư trú.
11. Được tạo điều kiện tham quan, thực tập tại các cơ quan, đơn vị trong và ngoài
nước; được tư vấn, định hướng nghề nghiệp, giới thiệu việc làm.
12. Được cung cấp các giấy tờ cần thiết, hỗ trợ các thủ tục tìm kiếm việc làm sau
khi tốt nghiệp.
13. Được hưởng đầy đủ các chế độ, chính sách theo quy định hiện hành của Nhà
nước và của Đại học.
14. Được xét vào ở trong ký túc xá của Đại học (nếu có nguyện vọng và đáp ứng
các điều kiện theo quy định của Đại học) hoặc được hỗ trợ tìm kiếm chỗ ở.
15. Được chăm lo, bảo vệ sức khỏe theo chế độ hiện hành của Nhà nước và của
Đại học.
16. Sinh viên là người khuyết tật hoặc không đủ sức khỏe học một số nội dung"
quy_che_ctsv_2025.pdf,4,,Điều 7,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 4 | Điều 7]
các điều kiện theo quy định của Đại học) hoặc được hỗ trợ tìm kiếm chỗ ở.
15. Được chăm lo, bảo vệ sức khỏe theo chế độ hiện hành của Nhà nước và của
Đại học.
16. Sinh viên là người khuyết tật hoặc không đủ sức khỏe học một số nội dung
thuộc các học phần giáo dục thể chất, giáo dục quốc phòng được xem xét miễn, giảm
các nội dung không phù hợp hoặc được học các nội dung thay thế phù hợp theo hiện
trạng sức khỏe.
17. Được cấp bằng tốt nghiệp đại học theo quy định của Đại học.
Điều 7. Các hành vi sinh viên không được làm
1. Xúc phạm nhân phẩm, danh dự, xâm phạm thân thể nhà giáo, cán bộ quản lý,
viên chức, người lao động và người học của Đại học và người khác.
2. Gian lận trong học tập, kiểm tra, thi cử như: quay cóp; mang tài liệu, điện
thoại, thiết bị ghi âm, ghi hình vào phòng thi khi không được phép; sử dụng các công"
quy_che_ctsv_2025.pdf,4,,Điều 7,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 4]
viên chức, người lao động và người học của Đại học và người khác.
2. Gian lận trong học tập, kiểm tra, thi cử như: quay cóp; mang tài liệu, điện
thoại, thiết bị ghi âm, ghi hình vào phòng thi khi không được phép; sử dụng các công
cụ, phần mềm, mạng internet khi không được phép để hỗ trợ làm bài thi/bài kiểm tra;"
quy_che_ctsv_2025.pdf,5,NỘI DUNG CÔNG TÁC SINH VIÊN,Điều 8,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 5]
xin điểm; học, thi, thực tập, thí nghiệm hộ người khác hoặc nhờ người khác học, thi,
thực tập, thí nghiệm hộ; sao chép, nhờ hoặc làm hộ tiểu luận, đồ án, khóa luận tốt
nghiệp; tổ chức hoặc tham gia tổ chức thi hộ hoặc các hành vi gian lận khác.
3. Có hành vi làm xao nhãng, ảnh hưởng, gián đoạn quá trình học tập của lớp
học.
4. Hút thuốc, uống rượu, bia trong khuôn viên Đại học; say rượu, bia khi đến
khuôn viên Đại học.
5. Thực hiện các hành vi gây nguy hiểm cho bản thân và người khác trong khuôn
viên Đại học như: leo trèo cây, lan can, đi xe tốc độ cao...
6. Trộm cắp, phá hoại tài sản của Đại học, tài sản của cán bộ quản lý, viên chức,
người lao động, người học của Đại học và tài sản của người khác.
7. Khai thác và phát tán các thông tin của Đại học khi không được phép."
quy_che_ctsv_2025.pdf,5,NỘI DUNG CÔNG TÁC SINH VIÊN,Điều 8,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 5]
viên Đại học như: leo trèo cây, lan can, đi xe tốc độ cao...
6. Trộm cắp, phá hoại tài sản của Đại học, tài sản của cán bộ quản lý, viên chức,
người lao động, người học của Đại học và tài sản của người khác.
7. Khai thác và phát tán các thông tin của Đại học khi không được phép.
8. Sản xuất, buôn bán, vận chuyển, phát tán, tàng trữ, sử dụng hoặc lôi kéo người
khác sử dụng vũ khí, chất nổ, các chất ma túy, các loại dược phẩm, hóa chất cấm sử
dụng; các tài liệu, ấn phẩm, thông tin phản động, đồi trụy và các tài liệu cấm khác theo
quy định của Nhà nước; tổ chức, tham gia, truyền bá các hoạt động mê tín dị đoan, các
hoạt động tôn giáo trong khuôn viên Đại học và các hành vi vi phạm đạo đức khác.
9. Tổ chức hoặc tham gia tụ tập đông người, biểu tình, khiếu kiện trái pháp luật;"
quy_che_ctsv_2025.pdf,5,NỘI DUNG CÔNG TÁC SINH VIÊN,Điều 8,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 5]
quy định của Nhà nước; tổ chức, tham gia, truyền bá các hoạt động mê tín dị đoan, các
hoạt động tôn giáo trong khuôn viên Đại học và các hành vi vi phạm đạo đức khác.
9. Tổ chức hoặc tham gia tụ tập đông người, biểu tình, khiếu kiện trái pháp luật;
tham gia tệ nạn xã hội, gây rối an ninh, trật tự an toàn trong khuôn viên Đại học hoặc
ngoài xã hội.
10. Tổ chức hoặc tham gia đua xe, cổ vũ đua xe trái phép.
11. Tổ chức hoặc tham gia đánh bạc dưới mọi hình thức.
12. Thành lập, tham gia các hoạt động mang tính chất chính trị trái pháp luật; tổ
chức, tham gia các hoạt động tập thể mang danh nghĩa Đại học khi chưa được Giám
đốc Đại học cho phép.
13. Đăng tải, bình luận, chia sẻ bài viết, hình ảnh có nội dung dung tục, bạo lực,
đồi trụy, xâm phạm an ninh quốc gia, chống phá Đảng và Nhà nước, xuyên tạc, vu"
quy_che_ctsv_2025.pdf,5,NỘI DUNG CÔNG TÁC SINH VIÊN,Điều 8,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 5 | Điều 8]
chức, tham gia các hoạt động tập thể mang danh nghĩa Đại học khi chưa được Giám
đốc Đại học cho phép.
13. Đăng tải, bình luận, chia sẻ bài viết, hình ảnh có nội dung dung tục, bạo lực,
đồi trụy, xâm phạm an ninh quốc gia, chống phá Đảng và Nhà nước, xuyên tạc, vu
khống, xúc phạm uy tín của tổ chức, danh dự và nhân phẩm của cá nhân trên mạng
Internet, làm ảnh hưởng xấu đến hình ảnh và uy tín của Đại học.
14. Tổ chức hoặc tham gia các hoạt động vi phạm pháp luật khác.
Chương III
NỘI DUNG CÔNG TÁC SINH VIÊN
Điều 8. Quản lý thông tin sinh viên
1. Hồ sơ nhập học của sinh viên
a) Sinh viên phải nộp đầy đủ hồ sơ văn bản giấy theo quy định được thông báo
hàng năm khi sinh viên làm thủ tục nhập học.
b) Sinh viên phải kê khai, cung cấp đầy đủ thông tin theo quy định trên cổng
thông tin sinh viên Đại học."
quy_che_ctsv_2025.pdf,5,NỘI DUNG CÔNG TÁC SINH VIÊN,Điều 8,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 5 | Điều 8]
Điều 8. Quản lý thông tin sinh viên
1. Hồ sơ nhập học của sinh viên
a) Sinh viên phải nộp đầy đủ hồ sơ văn bản giấy theo quy định được thông báo
hàng năm khi sinh viên làm thủ tục nhập học.
b) Sinh viên phải kê khai, cung cấp đầy đủ thông tin theo quy định trên cổng
thông tin sinh viên Đại học.
2. Hồ sơ quản lý quá trình học tập, rèn luyện của sinh viên gồm:"
quy_che_ctsv_2025.pdf,6,,khoản 1,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 6]
a) Kết quả học tập (điểm quá trình, điểm kết thúc học phần, kết quả thi hoặc bảo
vệ đồ án tốt nghiệp/khoá luận tốt nghiệp) và kết quả rèn luyện (điểm rèn luyện theo
học kỳ, năm học, khoá học);
b) Kết quả các hoạt động xã hội đã tham gia trong từng học kỳ, năm học;
c) Hình thức khen thưởng (nếu có) mà sinh viên đạt được trong học tập, nghiên
cứu khoa học, hoạt động phong trào, đoàn thể;
d) Hình thức kỷ luật (nếu có);
đ) Thông tin thay đổi (nếu có) do chuyển chương trình đào tạo, chuyển ngành
học, chuyển trường, nghỉ học có thời hạn, thôi học, tốt nghiệp;
e) Địa chỉ nơi cư trú;
g) Tình trạng đóng học phí;
h) Thông tin về việc tham gia bảo hiểm y tế;
i) Thông tin kết quả khám sức khỏe cho sinh viên do Đại học tổ chức;
k) Các học bổng đã được nhận.
3. Hồ sơ tốt nghiệp của sinh viên gồm:"
quy_che_ctsv_2025.pdf,6,,khoản 1,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 6 | Điều 8 của Quy chế này;]
học, chuyển trường, nghỉ học có thời hạn, thôi học, tốt nghiệp;
e) Địa chỉ nơi cư trú;
g) Tình trạng đóng học phí;
h) Thông tin về việc tham gia bảo hiểm y tế;
i) Thông tin kết quả khám sức khỏe cho sinh viên do Đại học tổ chức;
k) Các học bổng đã được nhận.
3. Hồ sơ tốt nghiệp của sinh viên gồm:
a) Các loại giấy tờ được quy định tại điểm a khoản 1 Điều 8 của Quy chế này;
b) Văn bằng tốt nghiệp kèm phụ lục văn bằng;
c) Kết quả rèn luyện trong quá trình học tập của sinh viên.
4. Hồ sơ nhập học và hồ sơ quản lý quá trình học tập, rèn luyện của sinh viên
được lập chậm nhất 15 ngày sau khi sinh viên làm thủ tục nhập học. Hồ sơ tốt nghiệp
của sinh viên được hoàn thiện chậm nhất 7 ngày trước thời điểm sinh viên được nhận bằng
tốt nghiệp.
5. Hồ sơ văn bản giấy của sinh viên được quản lý tập trung; hồ sơ dạng tài liệu"
quy_che_ctsv_2025.pdf,6,,khoản 1,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 6 | Điều 9]
được lập chậm nhất 15 ngày sau khi sinh viên làm thủ tục nhập học. Hồ sơ tốt nghiệp
của sinh viên được hoàn thiện chậm nhất 7 ngày trước thời điểm sinh viên được nhận bằng
tốt nghiệp.
5. Hồ sơ văn bản giấy của sinh viên được quản lý tập trung; hồ sơ dạng tài liệu
điện tử được lưu trữ và cập nhật đầy đủ, thường xuyên trên cổng thông tin sinh viên Đại
học.
6. Thời gian lưu trữ hồ sơ sinh viên được thực hiện theo quy định hiện hành của
pháp luật, quy định của Bộ Giáo dục và Đào tạo và quy định của Đại học.
7. Quản lý thông tin sinh viên nội, ngoại trú theo quy định hiện hành của Bộ Giáo
dục và Đào tạo và quy định của Đại học.
8. Thực hiện việc chia sẻ quyền khai thác dữ liệu theo đúng quy định hiện hành
của pháp luật và của Đại học.
Điều 9. Tổ chức lớp sinh viên
Lớp sinh viên được lập và gọi tên theo chương trình đào tạo và khóa học. Đại"
quy_che_ctsv_2025.pdf,6,,khoản 1,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 6 | Điều 9]
dục và Đào tạo và quy định của Đại học.
8. Thực hiện việc chia sẻ quyền khai thác dữ liệu theo đúng quy định hiện hành
của pháp luật và của Đại học.
Điều 9. Tổ chức lớp sinh viên
Lớp sinh viên được lập và gọi tên theo chương trình đào tạo và khóa học. Đại
diện cho lớp sinh viên là ban cán sự lớp gồm lớp trưởng và tối đa 2 lớp phó. Mỗi lớp
sinh viên được quản lý bởi cán bộ QLLSV.
Điều 10. Tổ chức các hoạt động giáo dục, tuyên truyền
1. Giáo dục chính trị tư tưởng"
quy_che_ctsv_2025.pdf,7,,Điều 11,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 7]
a) Giáo dục, tuyên truyền để sinh viên nắm vững và thực hiện đúng chủ trương,
đường lối của Đảng, chính sách pháp luật của Nhà nước;
b) Phối hợp với Đoàn Thanh niên Cộng sản Hồ Chí Minh, Hội Sinh viên và các
tổ chức chính trị - xã hội khác có liên quan trong các hoạt động rèn luyện của sinh
viên; tạo môi trường thuận lợi để sinh viên rèn luyện phấn đấu.
2. Giáo dục đạo đức, lối sống
a) Giáo dục, tuyên truyền cho sinh viên những giá trị, truyền thống đạo đức tốt
đẹp của dân tộc Việt Nam, những chuẩn mực đạo đức chung của xã hội và đạo đức nghề
nghiệp;
b) Định hướng, giáo dục lối sống lành mạnh, văn minh, tiến bộ, phù hợp với bản
sắc văn hóa dân tộc Việt Nam; giáo dục ý thức trách nhiệm của cá nhân sinh viên đối
với tập thể và cộng đồng.
3. Giáo dục, tuyên truyền phổ biến pháp luật"
quy_che_ctsv_2025.pdf,7,,Điều 11,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 7]
nghiệp;
b) Định hướng, giáo dục lối sống lành mạnh, văn minh, tiến bộ, phù hợp với bản
sắc văn hóa dân tộc Việt Nam; giáo dục ý thức trách nhiệm của cá nhân sinh viên đối
với tập thể và cộng đồng.
3. Giáo dục, tuyên truyền phổ biến pháp luật
a) Giáo dục, tuyên truyền nâng cao nhận thức và ý thức tuân thủ pháp luật,
thói quen sống và làm việc theo pháp luật;
b) Nội dung giáo dục pháp luật đối với sinh viên tập trung vào các quy chế, quy
định về học tập và rèn luyện; pháp luật về phòng chống tội phạm, tệ nạn xã hội; Luật
phòng, chống tham nhũng, Luật an ninh mạng; đảm bảo trật tự an toàn giao thông và
các luật khác có liên quan.
4. Giáo dục kỹ năng: kỹ năng sống, kỹ năng nghề nghiệp.
5. Giáo dục thể chất
a) Giáo dục, hướng dẫn sinh viên về kỹ thuật, phương pháp luyện tập và tổ chức"
quy_che_ctsv_2025.pdf,7,,Điều 11,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 7]
phòng, chống tham nhũng, Luật an ninh mạng; đảm bảo trật tự an toàn giao thông và
các luật khác có liên quan.
4. Giáo dục kỹ năng: kỹ năng sống, kỹ năng nghề nghiệp.
5. Giáo dục thể chất
a) Giáo dục, hướng dẫn sinh viên về kỹ thuật, phương pháp luyện tập và tổ chức
cho sinh viên tham gia các hoạt động thể dục, thể thao do Đại học tổ chức hoặc do Đại
học tham gia tổ chức;
b) Phổ biến, tuyên truyền nâng cao nhận thức cho sinh viên về vệ sinh an toàn
thực phẩm, chế độ dinh dưỡng, sinh hoạt điều độ, không lạm dụng rượu, bia, thuốc lá,
sử dụng chất kích thích, gây nghiện; kiến thức và kỹ năng chăm sóc sức khỏe, phòng
chống dịch, bệnh, tai nạn thương tích; tổ chức và triển khai hoạt động chăm sóc sức
khỏe toàn diện cho sinh viên theo quy định hiện hành của Nhà nước và của Đại học.
6. Giáo dục thẩm mỹ"
quy_che_ctsv_2025.pdf,7,,Điều 11,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 7 | Điều 11]
sử dụng chất kích thích, gây nghiện; kiến thức và kỹ năng chăm sóc sức khỏe, phòng
chống dịch, bệnh, tai nạn thương tích; tổ chức và triển khai hoạt động chăm sóc sức
khỏe toàn diện cho sinh viên theo quy định hiện hành của Nhà nước và của Đại học.
6. Giáo dục thẩm mỹ
a) Giáo dục kiến thức, kỹ năng để sinh viên biết yêu và cảm thụ cái đẹp trong
tự nhiên, cuộc sống xã hội và trong nghệ thuật;
b) Hình thành năng lực phán đoán và đánh giá thẩm mỹ; hình thành thị hiếu thẩm
mỹ đúng đắn; hình thành năng lực sáng tạo nghệ thuật, lòng đam mê và khả năng
chuyển tải cái đẹp vào đời sống học tập, lao động và ứng xử. Có thái độ phê phán cái
xấu, phản thẩm mỹ trong tâm hồn, trong hành vi ứng xử, hình dáng, trang phục…
Điều 11. Công tác khen thưởng và kỷ luật sinh viên
1. Phát động, tổ chức các phong trào thi đua trong sinh viên; tổ chức cho sinh"
quy_che_ctsv_2025.pdf,7,,Điều 11,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 7 | Điều 11]
chuyển tải cái đẹp vào đời sống học tập, lao động và ứng xử. Có thái độ phê phán cái
xấu, phản thẩm mỹ trong tâm hồn, trong hành vi ứng xử, hình dáng, trang phục…
Điều 11. Công tác khen thưởng và kỷ luật sinh viên
1. Phát động, tổ chức các phong trào thi đua trong sinh viên; tổ chức cho sinh
viên NCKH, thi Olympic môn học, tham gia các cuộc thi về đổi mới sáng tạo và khởi
nghiệp, các hoạt động khuyến khích học tập khác."
quy_che_ctsv_2025.pdf,8,,Điều 12,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 8 | Điều 12]
2. Hướng dẫn, kiểm tra, giám sát việc thực hiện các quy chế, quy định về học tập
và rèn luyện đối với sinh viên.
3. Ban hành các chính sách thi đua khen thưởng nhằm khuyến khích sinh viên
phát huy năng lực, phẩm chất tốt, hạn chế tiêu cực trong sinh viên.
4. Tổ chức khen thưởng sinh viên đạt thành tích cao trong học tập và rèn luyện.
5. Xử lý kỷ luật sinh viên vi phạm theo quy định.
Điều 12. Công tác an ninh trật tự học đường
1. Đảm bảo an ninh, trật tự học đường
a) Xây dựng kế hoạch, tổ chức kiểm tra, giám sát việc thực hiện các văn bản chỉ
đạo của Bộ Giáo dục và Đào tạo, của chính quyền địa phương về công tác bảo đảm an
ninh, trật tự an toàn xã hội, phòng chống tội phạm, tệ nạn xã hội trong sinh viên;
b) Phối hợp với chính quyền địa phương thực hiện các biện pháp bảo đảm an
ninh, trật tự học đường."
quy_che_ctsv_2025.pdf,8,,Điều 12,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 8]
đạo của Bộ Giáo dục và Đào tạo, của chính quyền địa phương về công tác bảo đảm an
ninh, trật tự an toàn xã hội, phòng chống tội phạm, tệ nạn xã hội trong sinh viên;
b) Phối hợp với chính quyền địa phương thực hiện các biện pháp bảo đảm an
ninh, trật tự học đường.
2. Xây dựng môi trường giáo dục lành mạnh, đảm bảo an toàn cho các hoạt động
học tập, rèn luyện của sinh viên:
a) Theo dõi, nắm bắt diễn biến tư tưởng, hành vi của sinh viên để có định hướng
phòng ngừa, ngăn chặn và giáo dục;
b) Phối hợp với các cơ quan chức năng ngăn chặn việc kích động, lôi kéo sinh
viên tham gia các hoạt động chống phá Đảng, Nhà nước, tham gia các tệ nạn xã hội,
truyền đạo trái phép và các hành vi vi phạm pháp luật;
c) Phối hợp với các cơ quan chức năng xử lý các vụ việc về an ninh, trật tự học"
quy_che_ctsv_2025.pdf,8,,Điều 12,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 8 | Điều 13]
b) Phối hợp với các cơ quan chức năng ngăn chặn việc kích động, lôi kéo sinh
viên tham gia các hoạt động chống phá Đảng, Nhà nước, tham gia các tệ nạn xã hội,
truyền đạo trái phép và các hành vi vi phạm pháp luật;
c) Phối hợp với các cơ quan chức năng xử lý các vụ việc về an ninh, trật tự học
đường và các vụ việc liên quan đến sinh viên ở trong và ngoài khuôn viên Đại học.
Điều 13. Thực hiện chế độ, chính sách ưu đãi dành cho sinh viên
1. Thông tin đầy đủ, kịp thời cho sinh viên về các chế độ, chính sách của Nhà
nước và của Đại học đối với với sinh viên.
2. Tư vấn, hỗ trợ sinh viên làm hồ sơ hưởng chế độ ưu đãi dành cho sinh viên
theo quy định của Nhà nước và của Đại học.
3. Thực hiện việc giải quyết chế độ chính sách ưu đãi đầy đủ và kịp thời cho sinh
viên theo đúng quy định của Nhà nước và của Đại học về quy trình, thủ tục."
quy_che_ctsv_2025.pdf,8,,Điều 12,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 8 | Điều 14]
2. Tư vấn, hỗ trợ sinh viên làm hồ sơ hưởng chế độ ưu đãi dành cho sinh viên
theo quy định của Nhà nước và của Đại học.
3. Thực hiện việc giải quyết chế độ chính sách ưu đãi đầy đủ và kịp thời cho sinh
viên theo đúng quy định của Nhà nước và của Đại học về quy trình, thủ tục.
Điều 14. Cố vấn học tập cho sinh viên
1. Cung cấp cho sinh viên đầy đủ thông tin về chương trình và kế hoạch đào tạo.
2. Tư vấn, hỗ trợ sinh viên xây dựng kế hoạch, phương pháp học tập phù hợp với
mục tiêu và năng lực.
3. Phối hợp hướng dẫn sinh viên tiếp cận các nguồn lực (về học thuật, tài liệu, tài
chính, kỹ thuật…) nhằm nâng cao chất lượng, hiệu quả học tập, NCKH.
Điều 15. Hỗ trợ sinh viên nghiên cứu sáng tạo
1. Tạo điều kiện cho sinh viên tham gia nghiên cứu, thực hành, thí nghiệm tại các
phòng thí nghiệm/thực hành (phòng LAB) của Đại học."
quy_che_ctsv_2025.pdf,9,,Điều 16,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 9 | Điều 16]
2. Hướng dẫn và tạo điều kiện cho sinh viên tham gia nghiên cứu, thực hiện các
đề án/dự án nghiên cứu sáng tạo của Đại học.
3. Hỗ trợ nguồn lực về cơ sở vật chất, tài chính cho sinh viên thực hiện các ý
tưởng, đề tài/dự án nghiên cứu sáng tạo, đặc biệt là các đề án/dự án ứng dụng vào thực
tế đời sống xã hội, kinh doanh, sản xuất.
Điều 16. Tư vấn và hỗ trợ sinh viên khởi nghiệp
1. Tổ chức các hoạt động đào tạo trang bị kiến thức, kỹ năng, tạo môi trường và
khơi gợi tinh thần khởi nghiệp, lập nghiệp cho sinh viên.
2. Tổ chức tư vấn và hỗ trợ sinh viên khởi nghiệp.
Điều 17. Tổ chức các hoạt động giao lưu văn hóa và trao đổi học thuật cho
sinh viên
1. Tổ chức và tạo điều kiện để sinh viên được tham gia các hoạt động giao lưu
văn hóa trong nước và quốc tế.
2. Tổ chức cho sinh viên tham gia các hoạt động giao lưu, trao đổi học thuật (hội"
quy_che_ctsv_2025.pdf,9,,Điều 16,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 9 | Điều 17]
Điều 17. Tổ chức các hoạt động giao lưu văn hóa và trao đổi học thuật cho
sinh viên
1. Tổ chức và tạo điều kiện để sinh viên được tham gia các hoạt động giao lưu
văn hóa trong nước và quốc tế.
2. Tổ chức cho sinh viên tham gia các hoạt động giao lưu, trao đổi học thuật (hội
nghị, hội thảo, tham quan, kiến tập, thực tập) trong và ngoài nước.
Điều 18. Công tác hướng nghiệp và tìm kiếm việc làm cho sinh viên
1. Công tác hướng nghiệp
a) Tư vấn, giới thiệu về chương trình đào tạo, ngành học, cơ hội tìm kiếm việc
làm sau khi tốt nghiệp;
b) Tổ chức hoạt động ngoại khoá nâng cao năng lực tìm kiếm việc làm, khả năng
thích ứng, hoà nhập với môi trường làm việc sau khi tốt nghiệp.
c) Tổ chức hoạt động tham quan, trải nghiệm môi trường làm việc tại doanh
nghiệp cho sinh viên.
2. Tìm kiếm và giới thiệu việc làm cho sinh viên"
quy_che_ctsv_2025.pdf,9,,Điều 16,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 9]
b) Tổ chức hoạt động ngoại khoá nâng cao năng lực tìm kiếm việc làm, khả năng
thích ứng, hoà nhập với môi trường làm việc sau khi tốt nghiệp.
c) Tổ chức hoạt động tham quan, trải nghiệm môi trường làm việc tại doanh
nghiệp cho sinh viên.
2. Tìm kiếm và giới thiệu việc làm cho sinh viên
a) Thiết lập hệ thống thông tin việc làm, thông tin hai chiều giữa đơn vị đào tạo
và đơn vị sử dụng lao động để tư vấn, giới thiệu việc làm cho sinh viên sau khi tốt
nghiệp; giúp các đơn vị có nhu cầu sử dụng lao động lựa chọn được sinh viên phù hợp;
b) Tổ chức hoặc phối hợp với các cơ quan, doanh nghiệp tổ chức các hoạt động
giới thiệu việc làm cho sinh viên (hội thảo, hội nghị, hội chợ việc làm…);
c) Phối hợp với mạng lưới cựu sinh viên triển khai các hoạt động thực tập, thực
hành, hướng nghiệp, tư vấn việc làm và các hoạt động khác hỗ trợ sinh viên;"
quy_che_ctsv_2025.pdf,9,,Điều 16,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 9]
giới thiệu việc làm cho sinh viên (hội thảo, hội nghị, hội chợ việc làm…);
c) Phối hợp với mạng lưới cựu sinh viên triển khai các hoạt động thực tập, thực
hành, hướng nghiệp, tư vấn việc làm và các hoạt động khác hỗ trợ sinh viên;
d) Tổ chức tìm kiếm, giới thiệu việc làm thêm cho sinh viên.
3. Khảo sát chất lượng đào tạo và cải tiến chương trình đào tạo
a) Phối hợp khảo sát, đánh giá nhu cầu nguồn nhân lực đối với ngành, nghề đang
đào tạo và thông tin phản hồi của đơn vị sử dụng lao động về chất lượng, khả năng đáp
ứng yêu cầu công việc của sinh viên sau khi tốt nghiệp;
b) Phối hợp với các tổ chức, cá nhân, đơn vị sử dụng lao động trong việc bổ
sung, đổi mới, chỉnh sửa chương trình, nội dung, phương thức đào tạo đáp ứng nhu cầu của
xã hội."
quy_che_ctsv_2025.pdf,10,ĐÁNH GIÁ KẾT QUẢ RÈN LUYỆN SINH VIÊN,Điều 19,,"[Tài liệu: quy_che_ctsv_2025.pdf | trang 10 | Điều 19]
Điều 19. Tư vấn tâm lý, chăm sóc sức khỏe sinh viên
1. Tổ chức các hoạt động tư vấn tâm lý, chăm sóc sức khỏe để phòng ngừa và hỗ
trợ kịp thời khi sinh viên gặp phải các vấn đề ảnh hưởng đến thể chất và tinh thần.
2. Tư vấn và hỗ trợ sinh viên mới nhập học hòa nhập với môi trường học tập
mới.
3. Tổ chức khám sức khỏe cho sinh viên mới nhập học và khám sức khỏe định kỳ
cho sinh viên; tư vấn, tổ chức cho sinh viên thực hiện Luật bảo hiểm y tế; tổ chức sơ,
cấp cứu, khám chữa bệnh ban đầu cho sinh viên.
Điều 20. Tổ chức các dịch vụ thiết yếu cho sinh viên
Tổ chức và hướng dẫn sinh viên sử dụng các dịch vụ thiết yếu phục vụ đời sống,
học tập và rèn luyện trong quá trình học tập như: internet, nhà ăn, căng tin, trông giữ
xe, sân chơi, bãi tập, thiết chế văn hóa…
Điều 21. Hỗ trợ tài chính cho sinh viên"
